Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/dMlpBlsTvI93,James Edghill,Second,Teddie Stanford,2,34,WON,31,45,100,31,99,64,31,80,10,0,0,10,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/dMlpBlsTvI93,Teddie Stanford,Second,James Edghill,3,30,LOST,30,22,41,25,27,29,40,30,26,27,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/dMlpBlsTvI93,James Edghill,First,Teddie Stanford,3,31,WON,81,54,60,58,30,26,25,53,79,23,12,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/PY8gBCM04icv,Tyla Samson,First,Teddie Stanford,1,21,WON,140,125,41,95,74,20,6,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/PY8gBCM04icv,Teddie Stanford,Second,Tyla Samson,1,18,LOST,24,38,21,41,29,16,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/PY8gBCM04icv,Tyla Samson,Second,Teddie Stanford,2,21,WON,82,81,60,81,41,60,96,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/PY8gBCM04icv,Teddie Stanford,First,Tyla Samson,2,21,LOST,25,83,25,92,43,117,32,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/PY8gBCM04icv,Tyla Samson,First,Teddie Stanford,3,21,WON,60,100,60,99,136,26,20,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/PY8gBCM04icv,Teddie Stanford,Second,Tyla Samson,3,18,LOST,47,57,30,74,57,26,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/6z9ogNdvwsMA,Jaime Message,Second,James Edghill,1,21,LOST,100,100,85,30,82,32,52,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/6z9ogNdvwsMA,James Edghill,First,Jaime Message,1,23,WON,44,100,92,59,140,50,0,16,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/6z9ogNdvwsMA,Jaime Message,First,James Edghill,2,24,WON,64,66,45,95,101,39,23,68,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/6z9ogNdvwsMA,James Edghill,Second,Jaime Message,2,21,LOST,26,59,81,39,81,37,82,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/6z9ogNdvwsMA,Jaime Message,Second,James Edghill,3,18,LOST,38,26,60,45,100,100,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/6z9ogNdvwsMA,James Edghill,First,Jaime Message,3,20,WON,55,100,60,31,171,52,32,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/6z9ogNdvwsMA,Jaime Message,First,James Edghill,4,21,LOST,70,60,81,55,99,60,64,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/6z9ogNdvwsMA,James Edghill,Second,Jaime Message,4,20,WON,85,60,82,134,38,78,24,,,,,,,,,
