Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Shane Edwards,Second,Charlie Green,5,18,LOST,80,60,57,32,59,39,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Charlie Green,First,Shane Edwards,5,21,WON,41,44,100,85,81,100,50,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Shane Edwards,First,Charlie Green,6,32,WON,95,100,139,42,70,37,0,10,6,0,2
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Charlie Green,Second,Shane Edwards,6,30,LOST,81,45,46,99,140,78,0,10,0,0,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Shane Edwards,Second,Charlie Green,7,18,LOST,100,100,91,81,47,66,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZEoPykTBIGdo,Charlie Green,First,Shane Edwards,7,21,WON,44,59,84,60,100,96,58,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,Nick Ellis,First,James Willcox,1,17,WON,57,100,180,92,40,32,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,James Willcox,Second,Nick Ellis,1,15,LOST,95,44,17,100,27,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,Nick Ellis,Second,James Willcox,2,12,LOST,57,44,140,56,,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,James Willcox,First,Nick Ellis,2,15,WON,140,85,100,96,80,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,Nick Ellis,First,James Willcox,3,19,WON,140,140,140,49,24,6,2,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,James Willcox,Second,Nick Ellis,3,18,LOST,83,60,81,55,41,31,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,Nick Ellis,Second,James Willcox,4,20,WON,44,43,60,100,140,54,60,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,James Willcox,First,Nick Ellis,4,21,LOST,58,43,82,60,100,98,0,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,Nick Ellis,First,James Willcox,5,13,WON,60,180,140,89,32,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/VGEY3R04Fv97,James Willcox,Second,Nick Ellis,5,12,LOST,60,100,45,86,,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,George Whyte,Second,Dylan Loughnane,1,17,WON,90,125,100,85,64,37,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,Dylan Loughnane,First,George Whyte,1,18,LOST,26,100,75,41,82,100,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,George Whyte,First,Dylan Loughnane,2,24,WON,60,98,27,57,59,50,59,91,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,Dylan Loughnane,Second,George Whyte,2,21,LOST,60,24,40,26,23,36,81,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,George Whyte,Second,Dylan Loughnane,3,18,LOST,40,137,44,85,90,85,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,Dylan Loughnane,First,George Whyte,3,21,WON,60,26,45,95,64,140,71,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,George Whyte,First,Dylan Loughnane,4,21,WON,59,84,60,100,47,100,51,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,Dylan Loughnane,Second,George Whyte,4,18,LOST,100,41,40,81,33,30,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,George Whyte,Second,Dylan Loughnane,5,18,WON,48,180,37,93,83,60,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/gRutl3gKIQZB,Dylan Loughnane,First,George Whyte,5,18,LOST,45,40,28,24,19,41,,,,,
