Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Steve Henry,First,Adrian Boier,3,18,WON,137,89,68,59,98,50,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Adrian Boier,Second,Steve Henry,3,15,LOST,83,84,95,55,100,,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Steve Henry,Second,Adrian Boier,4,27,LOST,81,45,49,45,100,59,28,26,18,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Adrian Boier,First,Steve Henry,4,28,WON,26,19,59,77,68,59,85,52,24,32
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Steve Henry,First,Adrian Boier,5,25,WON,60,40,100,94,59,44,40,48,16,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Adrian Boier,Second,Steve Henry,5,24,LOST,78,40,50,32,44,140,39,0,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Steve Henry,Second,Adrian Boier,6,21,LOST,28,46,57,80,85,99,28,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Adrian Boier,First,Steve Henry,6,24,WON,80,60,40,100,79,58,28,56,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Steve Henry,First,Adrian Boier,7,28,WON,41,10,41,61,60,58,94,41,55,40
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/8DvGkXsMM2Vh,Adrian Boier,Second,Steve Henry,7,27,LOST,26,52,56,28,82,60,60,79,54,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Tom Riding,First,Brad Canning,1,24,WON,60,60,60,45,100,41,63,72,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Brad Canning,Second,Tom Riding,1,21,LOST,60,60,60,21,60,59,57,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Tom Riding,Second,Brad Canning,2,18,LOST,26,83,28,46,93,85,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Brad Canning,First,Tom Riding,2,19,WON,60,100,60,135,100,14,32,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Tom Riding,First,Brad Canning,3,21,WON,100,60,180,41,84,0,36,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Brad Canning,Second,Tom Riding,3,18,LOST,40,85,85,30,45,60,,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Tom Riding,Second,Brad Canning,4,22,WON,140,60,55,41,41,132,24,8,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Brad Canning,First,Tom Riding,4,24,LOST,26,41,44,70,60,45,60,60,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Tom Riding,First,Brad Canning,5,20,WON,60,65,60,140,100,36,40,,,
Moretown,,,05-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/NqSrL7IzJaVI,Brad Canning,Second,Tom Riding,5,18,LOST,36,60,81,82,60,50,,,,
